Identifiant_de_l_etablissement;Statut_public_prive;Type_contrat_prive;Code_type_contrat_prive
0442989K;Privé;HORS CONTRAT;10
0451106H;Public;SANS OBJET;99
0451478M;Public;SANS OBJET;99
0451535Z;Public;SANS OBJET;99
0460703P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0480696W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492237R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492239T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492244Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492486L;Privé;HORS CONTRAT;10
0500037U;Public;SANS OBJET;99
0512154P;Public;SANS OBJET;99
0512195J;Privé;HORS CONTRAT;10
0541921V;Privé;HORS CONTRAT;10
0541998D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0542235L;Privé;HORS CONTRAT;10
0561988G;Privé;HORS CONTRAT;10
0570088L;Public;SANS OBJET;99
0573397H;Public;SANS OBJET;99
0573401M;Public;SANS OBJET;99
0580662E;Privé;SANS OBJET;99
0593257V;Privé;SANS OBJET;99
0594621C;Privé;HORS CONTRAT;10
0595721Y;Privé;HORS CONTRAT;10
0595778K;Privé;HORS CONTRAT;10
0596791L;Privé;HORS CONTRAT;10
0622169W;Privé;HORS CONTRAT;10
0624529L;Privé;HORS CONTRAT;10
0624544C;Privé;HORS CONTRAT;10
0632021E;Public;SANS OBJET;99
0632025J;Public;SANS OBJET;99
0640230C;Public;SANS OBJET;99
0642115B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0651026M;Privé;HORS CONTRAT;10
0651112F;Privé;HORS CONTRAT;10
0651120P;Privé;HORS CONTRAT;10
0660458P;Public;SANS OBJET;99
0660810X;Public;SANS OBJET;99
0660907C;Public;SANS OBJET;99
0660959J;Privé;HORS CONTRAT;10
0670055W;Public;SANS OBJET;99
0672582T;Privé;HORS CONTRAT;10
0672707D;Public;SANS OBJET;99
0673117Z;Privé;HORS CONTRAT;10
0680059V;Public;SANS OBJET;99
0681879Y;Public;SANS OBJET;99
0681890K;Public;SANS OBJET;99
0682079R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690130S;Public;SANS OBJET;99
0692518M;Public;SANS OBJET;99
0693134G;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0693316E;Privé;HORS CONTRAT;10
0693401X;Privé;HORS CONTRAT;10
0694210B;Public;SANS OBJET;99
0700019R;Public;SANS OBJET;99
0701201A;Privé;HORS CONTRAT;10
0711884M;Privé;HORS CONTRAT;10
0741433F;Privé;HORS CONTRAT;10
0741802G;Privé;HORS CONTRAT;10
0741819A;Privé;HORS CONTRAT;10
0750523L;Public;SANS OBJET;99
0751593Z;Privé;HORS CONTRAT;10
0753109X;Privé;HORS CONTRAT;10
0753537M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0753819U;Privé;HORS CONTRAT;10
0754114P;Privé;HORS CONTRAT;10
0754129F;Privé;HORS CONTRAT;10
0754338H;Privé;HORS CONTRAT;10
0754877U;Public;SANS OBJET;99
0754878V;Public;SANS OBJET;99
0754890H;Public;SANS OBJET;99
0754915K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0754922T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0754979E;Public;SANS OBJET;99
0755182A;Public;SANS OBJET;99
0755491L;Privé;HORS CONTRAT;10
0755843U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0755943C;Privé;HORS CONTRAT;10
0756052W;Privé;HORS CONTRAT;10
0756262Z;Privé;HORS CONTRAT;10
0756403C;Privé;HORS CONTRAT;10
0760031W;Public;SANS OBJET;99
0761789G;Public;SANS OBJET;99
0762284V;Privé;SANS OBJET;99
0762946P;Public;SANS OBJET;99
0762949T;Public;SANS OBJET;99
0762950U;Public;SANS OBJET;99
0762951V;Public;SANS OBJET;99
0763063S;Public;SANS OBJET;99
0770923K;Public;SANS OBJET;99
0770939C;Public;SANS OBJET;99
0771190A;Privé;HORS CONTRAT;10
0771617P;Public;SANS OBJET;99
0772668G;Public;SANS OBJET;99
0772908T;Privé;HORS CONTRAT;10
0781023N;Privé;SANS OBJET;99
0781905X;Public;SANS OBJET;99
0781909B;Public;SANS OBJET;99
0782055K;Public;SANS OBJET;99
0782057M;Public;SANS OBJET;99
0782078K;Public;SANS OBJET;99
0782131T;Privé;HORS CONTRAT;10
0783249H;Public;SANS OBJET;99
0783504K;Privé;HORS CONTRAT;10
0783608Y;Privé;HORS CONTRAT;10
0783737N;Privé;HORS CONTRAT;10
0783803K;Privé;HORS CONTRAT;10
0783856T;Privé;HORS CONTRAT;10
0801534H;Public;SANS OBJET;99
0801825Z;Public;SANS OBJET;99
0802207P;Privé;HORS CONTRAT;10
0810046K;Public;SANS OBJET;99
0810047L;Public;SANS OBJET;99
0811289L;Public;SANS OBJET;99
0820039X;Public;SANS OBJET;99
0820700R;Public;SANS OBJET;99
0820904M;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0830102K;Privé;HORS CONTRAT;10
0831317F;Privé;HORS CONTRAT;10
0831543B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0831562X;Public;SANS OBJET;99
0831565A;Public;SANS OBJET;99
0831675V;Privé;HORS CONTRAT;10
0831679Z;Privé;HORS CONTRAT;10
0840087N;Privé;HORS CONTRAT;10
0840953E;Public;SANS OBJET;99
0850029V;Public;SANS OBJET;99
0851437A;Privé;HORS CONTRAT;10
0851503X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0861216E;Privé;HORS CONTRAT;10
0861357H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0875029U;Public;SANS OBJET;99
0875093N;Privé;HORS CONTRAT;10
0880072A;Public;SANS OBJET;99
0891325G;Privé;HORS CONTRAT;10
0912013U;Public;SANS OBJET;99
0912110Z;Public;SANS OBJET;99
0912112B;Public;SANS OBJET;99
0912404U;Privé;HORS CONTRAT;10
0922339T;Public;SANS OBJET;99
0922405P;Public;SANS OBJET;99
0922444G;Public;SANS OBJET;99
0922739C;Privé;HORS CONTRAT;10
0922872X;Privé;HORS CONTRAT;10
0930540G;Public;SANS OBJET;99
0931432B;Public;SANS OBJET;99
0931740L;Public;SANS OBJET;99
0932112R;Public;SANS OBJET;99
0932367T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0932375B;Public;SANS OBJET;99
0932463X;Public;SANS OBJET;99
0932861E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940136M;Public;SANS OBJET;99
0940578T;Public;SANS OBJET;99
0941354L;Public;SANS OBJET;99
0942146X;Public;SANS OBJET;99
0942364J;Privé;HORS CONTRAT;10
0942439R;Privé;HORS CONTRAT;10
0950688G;Public;SANS OBJET;99
0951913N;Public;SANS OBJET;99
0952273E;Privé;HORS CONTRAT;10
6200683Y;Public;SANS OBJET;99
9710590P;Public;SANS OBJET;99
9711044H;Public;SANS OBJET;99
9711067H;Public;SANS OBJET;99
9711246C;Privé;HORS CONTRAT;10
9711250G;Privé;HORS CONTRAT;10
9711264X;Privé;HORS CONTRAT;10
9711287X;Privé;HORS CONTRAT;10
9711323L;Privé;HORS CONTRAT;10
9720516D;Public;SANS OBJET;99
9720693W;Public;SANS OBJET;99
9720775K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9730257S;Public;SANS OBJET;99
9730376W;Public;SANS OBJET;99
9741184U;Public;SANS OBJET;99
9741207U;Public;SANS OBJET;99
9741232W;Public;SANS OBJET;99
9741234Y;Public;SANS OBJET;99
9741390T;Public;SANS OBJET;99
9741582B;Public;SANS OBJET;99
9741621U;Public;SANS OBJET;99
9741664R;Privé;HORS CONTRAT;10
9741790C;Privé;HORS CONTRAT;10
9760283D;Public;SANS OBJET;99
9760382L;Public;SANS OBJET;99
9760463Z;Public;SANS OBJET;99
9760464A;Public;SANS OBJET;99
9830685C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0121423G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0311213A;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0131684K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750463W;Public;SANS OBJET;99
0490013Y;Public;SANS OBJET;99
0540085Z;Public;SANS OBJET;99
0540086A;Public;SANS OBJET;99
0921626T;Public;SANS OBJET;99
0011258M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0620131F;Public;SANS OBJET;99
0622275L;Public;SANS OBJET;99
0890053Z;Public;SANS OBJET;99
9830294C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0370040T;Public;SANS OBJET;99
0382031B;Public;SANS OBJET;99
0240012H;Public;SANS OBJET;99
0740152N;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0620167V;Public;SANS OBJET;99
0590263R;Public;SANS OBJET;99
0891223W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0580076T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0541377D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0760142S;Public;SANS OBJET;99
0750793E;Public;SANS OBJET;99
9840019Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750770E;Public;SANS OBJET;99
0740155S;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0180998M;Public;SANS OBJET;99
0133274N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0592964B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0930129K;Public;SANS OBJET;99
0260078U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0180042Y;Public;SANS OBJET;99
0920981S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0942355Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
7200118R;Public;SANS OBJET;99
0620121V;Public;SANS OBJET;99
0601896K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0460529A;Public;SANS OBJET;99
0261148G;Public;SANS OBJET;99
0750785W;Public;SANS OBJET;99
0160792Z;Public;SANS OBJET;99
0030105Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9840267T;Public;SANS OBJET;99
0550700M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0601164P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0740156T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0370054H;Public;SANS OBJET;99
0350062C;Public;SANS OBJET;99
0801252B;Public;SANS OBJET;99
0421979Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0420078G;Public;SANS OBJET;99
0840113S;Public;SANS OBJET;99
0290092T;Public;SANS OBJET;99
0640050G;Public;SANS OBJET;99
0130171R;Public;SANS OBJET;99
0311190A;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0570230R;Public;SANS OBJET;99
0601947R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0490801E;Public;SANS OBJET;99
0750553U;Public;SANS OBJET;99
0120096P;Public;SANS OBJET;99
9840341Y;Public;SANS OBJET;99
0692418D;Public;SANS OBJET;99
0610724F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0131485U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0070016E;Public;SANS OBJET;99
0930929E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940853S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0292144Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750787Y;Public;SANS OBJET;99
0142178S;Public;SANS OBJET;99
0590144L;Public;SANS OBJET;99
0160047P;Public;SANS OBJET;99
0690048C;Public;SANS OBJET;99
0931198X;Public;SANS OBJET;99
0870051H;Public;SANS OBJET;99
0672299K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0693374T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940140S;Public;SANS OBJET;99
9830306R;Public;SANS OBJET;99
0501787W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0430101B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940138P;Public;SANS OBJET;99
0132276D;Public;SANS OBJET;99
0540060X;Public;SANS OBJET;99
0540037X;Public;SANS OBJET;99
0570225K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0350807M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0100004A;Public;SANS OBJET;99
0220186H;Public;SANS OBJET;99
0541344T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0561606S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0631736V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0330119A;Public;SANS OBJET;99
0870919B;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0502009M;Public;SANS OBJET;99
0781856U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0251592V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0620190V;Public;SANS OBJET;99
0351914R;Public;SANS OBJET;99
0940141T;Public;SANS OBJET;99
0941407U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0770920G;Public;SANS OBJET;99
0560070X;Public;SANS OBJET;99
0010814E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0440063E;Public;SANS OBJET;99
0693373S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0810108C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9741098A;Privé;SANS OBJET;99
0240081H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0801194N;Public;SANS OBJET;99
0280925D;Public;SANS OBJET;99
0630041C;Public;SANS OBJET;99
0590143K;Public;SANS OBJET;99
0594375K;Public;SANS OBJET;99
0110012D;Public;SANS OBJET;99
0640131V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0601194X;Privé;SANS OBJET;99
0601699W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0320030J;Public;SANS OBJET;99
0590214M;Public;SANS OBJET;99
0711064W;Public;SANS OBJET;99
0622106C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9740738J;Public;SANS OBJET;99
0141192V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0370032J;Public;SANS OBJET;99
0061852F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0131690S;Privé;SANS OBJET;99
0281021H;Public;SANS OBJET;99
0360009P;Public;SANS OBJET;99
9711032V;Public;SANS OBJET;99
9720727H;Public;SANS OBJET;99
0753268V;Public;SANS OBJET;99
0951673C;Public;SANS OBJET;99
0593006X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0593109J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0110007Y;Public;SANS OBJET;99
0311902Z;Public;SANS OBJET;99
0671552Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940119U;Public;SANS OBJET;99
0500049G;Public;SANS OBJET;99
0940116R;Public;SANS OBJET;99
0920802X;Public;SANS OBJET;99
0491966W;Public;SANS OBJET;99
0132472S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940881X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0131862D;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0131339K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750698B;Public;SANS OBJET;99
0290098Z;Public;SANS OBJET;99
0140052F;Public;SANS OBJET;99
0281077U;Public;SANS OBJET;99
0940878U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0754401B;Public;SANS OBJET;99
0560025Y;Public;SANS OBJET;99
0030935A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0071397F;Public;SANS OBJET;99
0783282U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690520R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0772688D;Public;SANS OBJET;99
0930120A;Public;SANS OBJET;99
0750428H;Public;SANS OBJET;99
0271053Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0610700E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0593060F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0801888T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0772294A;Public;SANS OBJET;99
0771996B;Public;SANS OBJET;99
0920906K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0134107U;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0951766D;Public;SANS OBJET;99
0731507S;Public;SANS OBJET;99
0352304P;Public;SANS OBJET;99
0220106W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9730196A;Public;SANS OBJET;99
0930863H;Public;SANS OBJET;99
0921365J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0370731U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0740092Y;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0601865B;Public;SANS OBJET;99
0951637N;Public;SANS OBJET;99
9760182U;Public;SANS OBJET;99
0500116E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0922249V;Public;SANS OBJET;99
0753883N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0291654R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0592921E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0142059M;Public;SANS OBJET;99
0061763J;Public;SANS OBJET;99
0010070W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0312754A;Public;SANS OBJET;99
0640126P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0731040J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0520679F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0511951U;Public;SANS OBJET;99
0161095D;Public;SANS OBJET;99
0342436N;Public;SANS OBJET;99
0890008A;Public;SANS OBJET;99
0670129B;Public;SANS OBJET;99
0681839E;Public;SANS OBJET;99
0030084A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0692165D;Public;SANS OBJET;99
0492406Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0640047D;Public;SANS OBJET;99
0762880T;Public;SANS OBJET;99
9710922A;Public;SANS OBJET;99
9730001N;Public;SANS OBJET;99
0290164W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690031J;Public;SANS OBJET;99
0941711Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0740006E;Public;SANS OBJET;99
0912342B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0753827C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0180008L;Public;SANS OBJET;99
0951994B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0410030K;Public;SANS OBJET;99
0290181P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0622110G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0350022J;Public;SANS OBJET;99
0690032K;Public;SANS OBJET;99
0830100H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0062015H;Public;SANS OBJET;99
0130164H;Public;SANS OBJET;99
9741556Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
6200650M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0511926S;Public;SANS OBJET;99
0510031G;Public;SANS OBJET;99
0740046Y;Public;SANS OBJET;99
0641779L;Public;SANS OBJET;99
0190032G;Public;SANS OBJET;99
0693044J;Public;SANS OBJET;99
0381660Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0382780R;Public;SANS OBJET;99
0350053T;Public;SANS OBJET;99
0290070U;Public;SANS OBJET;99
0332832Z;Public;SANS OBJET;99
0490904S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0520685M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0721684P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0331506H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0573770N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0430020N;Public;SANS OBJET;99
0550025D;Public;SANS OBJET;99
0691659D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0850077X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0701035V;Public;SANS OBJET;99
0422132P;Public;SANS OBJET;99
0330027A;Public;SANS OBJET;99
0134252B;Public;SANS OBJET;99
0170029P;Public;SANS OBJET;99
0430021P;Public;SANS OBJET;99
0740098E;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0721549T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0442993P;Public;SANS OBJET;99
0460010L;Public;SANS OBJET;99
0680060W;Public;SANS OBJET;99
0131335F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0131403E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0301722J;Public;SANS OBJET;99
0595885B;Public;SANS OBJET;99
0060030A;Public;SANS OBJET;99
0040587S;Public;SANS OBJET;99
0690563M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0010072Y;Public;SANS OBJET;99
0570085H;Public;SANS OBJET;99
0690574Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0670079X;Public;SANS OBJET;99
0080053P;Public;SANS OBJET;99
0721680K;Public;SANS OBJET;99
0340038G;Public;SANS OBJET;99
0311132M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0640122K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0550072E;Public;SANS OBJET;99
0681761V;Public;SANS OBJET;99
0421022H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0170060Y;Public;SANS OBJET;99
0810079W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0681817F;Public;SANS OBJET;99
0690543R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0060670W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0420979L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0850076W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0311323V;Public;SANS OBJET;99
0781845G;Public;SANS OBJET;99
0490001K;Public;SANS OBJET;99
0950667J;Public;SANS OBJET;99
0952208J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0951221L;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0342175E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750651A;Public;SANS OBJET;99
0932619S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0460013P;Public;SANS OBJET;99
0610001V;Public;SANS OBJET;99
0930933J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0920799U;Public;SANS OBJET;99
0560038M;Public;SANS OBJET;99
0593225K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0601826J;Public;SANS OBJET;99
0290010D;Public;SANS OBJET;99
0750699C;Public;SANS OBJET;99
0781819D;Public;SANS OBJET;99
0950762M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940117S;Public;SANS OBJET;99
0382920T;Public;SANS OBJET;99
9720692V;Public;SANS OBJET;99
0921484N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0360024F;Public;SANS OBJET;99
0760174B;Public;SANS OBJET;99
9710882G;Public;SANS OBJET;99
0620062F;Public;SANS OBJET;99
0942376X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0754479L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0753902J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690564N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0593102B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0352072M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0290008B;Public;SANS OBJET;99
0290034E;Public;SANS OBJET;99
0690539L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0951763A;Public;SANS OBJET;99
0420018S;Public;SANS OBJET;99
0770922J;Public;SANS OBJET;99
9741050Y;Public;SANS OBJET;99
0440077V;Public;SANS OBJET;99
0694086S;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0950647M;Public;SANS OBJET;99
0740051D;Public;SANS OBJET;99
9720003W;Public;SANS OBJET;99
0320023B;Public;SANS OBJET;99
0940121W;Public;SANS OBJET;99
0930936M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0931272C;Public;SANS OBJET;99
9710993C;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0560051B;Public;SANS OBJET;99
0592929N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0590282L;Public;SANS OBJET;99
0650025Z;Public;SANS OBJET;99
9830483H;Public;SANS OBJET;99
0410675L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492123S;Public;SANS OBJET;99
0332468D;Public;SANS OBJET;99
0630018C;Public;SANS OBJET;99
0380028Z;Public;SANS OBJET;99
0490835S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0133474F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9741324W;Public;SANS OBJET;99
0850086G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130161E;Public;SANS OBJET;99
0332747G;Public;SANS OBJET;99
0541986R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0731392S;Public;SANS OBJET;99
0134101M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0380053B;Public;SANS OBJET;99
0060668U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0671618V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0530052U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0810023K;Public;SANS OBJET;99
0331491S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0710001R;Public;SANS OBJET;99
0211074D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0332744D;Public;SANS OBJET;99
0831616F;Public;SANS OBJET;99
0593138R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0573231C;Public;SANS OBJET;99
0570087K;Public;SANS OBJET;99
9741046U;Public;SANS OBJET;99
0381599G;Public;SANS OBJET;99
0240024W;Public;SANS OBJET;99
0731248K;Public;SANS OBJET;99
0570311D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0790080H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0333273D;Public;SANS OBJET;99
0021946E;Public;SANS OBJET;99
0830050D;Public;SANS OBJET;99
0390029V;Public;SANS OBJET;99
0690550Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0550047C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0570313F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9740054R;Public;SANS OBJET;99
0840015K;Public;SANS OBJET;99
