"id";"SIRET";"secteur";"public";"public_employer_type";"Rue";"Ville";"Code postal";"Filière"
38721;"21830098600021";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue Marie Mauron";"Le Pradet";"83220";"seconde_only"
38722;"21830098600047";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue Marie Mauron";"Le Pradet";"83220";"seconde_only"
38739;;"Artisanat d'art";FAUX;;"4 RUE DE LA BRIQUETERIE";"Vexin-sur-Epte";"27420";"seconde_troisieme_or_quatrieme"
38748;"21830062200048";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"333 Rue du Nouveau Pigeonnier";"La Garde";"83130";"seconde_only"
38757;;"Artisanat d'art";FAUX;;"4 HAM AUX COMPTES";"Beauchamps";"50320";"seconde_troisieme_or_quatrieme"
38758;;"Agriculture";FAUX;;"  LA SOUBINIERE";"Sainte-Honorine-la-Chardonne";"61430";"seconde_troisieme_or_quatrieme"
38761;;"Enseignement";FAUX;;"80 AV EDMUND HALLEY";"Saint-Étienne-du-Rouvray";"76800";"seconde_troisieme_or_quatrieme"
38764;;"Fonction publique";FAUX;;"4 RUE COLONEL ARNAUD BELTRAME";"Évrecy";"14210";"seconde_troisieme_or_quatrieme"
38765;;"Commerce et distribution";FAUX;;"354 RUE DE LA HTE FOLIE";"Saint-Lô";"50000";"seconde_troisieme_or_quatrieme"
38768;;"Maintenance";FAUX;;"  LE BOURG";"Saint-Pierre-d'Entremont";"61800";"seconde_troisieme_or_quatrieme"
38782;"21830062200089";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"413 Avenue Jean Bartolini";"La Garde";"83130";"seconde_only"
38808;;"Arts du spectacle";FAUX;;"4 RUE COLONEL ARNAUD BELTRAME";"Évrecy";"14210";"seconde_troisieme_or_quatrieme"
38816;"21830062200139";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Boulevard Michel Zunino - 20 Allée des Droits de l'Enfant";"La Garde";"83130";"seconde_only"
38824;"21830062200105";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Place Louise Michel";"La Garde";"83130";"seconde_only"
38825;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"34 rue de savoie";"Besançon";"25000";"seconde_only"
38826;;"Artisanat d'art";FAUX;;" RUE DES FORRIERES";"Caugé";"27180";"seconde_troisieme_or_quatrieme"
38831;"21830062200097";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Place Louise Michel - 84 Allée des Droits de l'Enfant";"La Garde";"83130";"seconde_only"
38842;;"Artisanat d'art";FAUX;;"1 RUE MONTIERS";"Sarceaux";"61200";"seconde_troisieme_or_quatrieme"
38844;;"Agriculture";FAUX;;"  FERME DU MARAIS";"Brucourt";"14160";"seconde_troisieme_or_quatrieme"
38848;;"Fonction publique";FAUX;;"22 PL DU GENERAL DE GAULLE";"Mortagne-au-Perche";"61400";"seconde_troisieme_or_quatrieme"
38851;;"Marketing, publicité";FAUX;;" ALL CLOTAIRE 1ER";"Yvetot";"76190";"seconde_troisieme_or_quatrieme"
