uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0130001F;Lycée;Lycée polyvalent Emile Zola;Avenue Arc de Meyran;13181;Aix-en-Provence;1.0;1.0;;
0920132U;Lycée;Lycée Albert Camus;131 rue Pierre Joigneaux;92270;Bois-Colombes;1.0;1.0;;
0330126H;Lycée;Lycée polyvalent Victor Louis;2 avenue de Thouars;33405;Talence;1.0;1.0;;
0760052U;Lycée;Lycée François 1er;2 rue Jean-Paul Sartre;76066;Le Havre;1.0;0.0;;
0611148S;Lycée;Lycée Jean Monnet;2 rue Jean Monnet;61400;Mortagne-au-Perche;1.0;1.0;;
0500119H;Lycée;Lycée Institution Sévigné;15 boulevard Girard Desprairies;50400;Granville;1.0;0.0;;
0761356L;Lycée;Lycée privé Providence Sainte-Thérèse;42 rue de Le Nostre;76000;Rouen;0.0;1.0;;
0761721H;Lycée;Lycée privé Jean XXIII;14-16 rue de la Gare;76190;Yvetot;1.0;0.0;;
0763237F;Lycée;Lycée Georges Baptiste;41 route de Duclair;76380;Canteleu;0.0;1.0;;
0610698C;Lycée;Lycée Saint-Thomas d'Aquin;1 place Claudius Duperron;61100;Flers;1.0;1.0;;
0140004D;Lycée;Lycée Alain Chartier;Place de la Lombarderie;14402;Bayeux;1.0;0.0;;
0610702G;Lycée;Lycée Marie Immaculée;6 rue Charles Forget;61500;Sées;1.0;0.0;;
0760058A;Lycée;Lycée Schuman-Perret;51 avenue du 8 mai 1945;76610;Le Havre;1.0;1.0;;
0501828R;Lycée;Lycée Victor Grignard;12 rue Guillaume Fouace;50100;Cherbourg-en-Cotentin;1.0;1.0;;
0141161L;Lycée;Lycée privé Jeanne d'Arc;27 rue Claude Chappe;14000;Caen;1.0;0.0;;
0141172Y;Lycée;Lycée Marie Joseph;2 Av de la Marnière Hennequeville;14360;Trouville-sur-Mer;1.0;0.0;;
0271580W;Lycée;Lycée André Malraux;59 avenue François Mitterrand;27600;Gaillon;1.0;1.0;;
